name,group
콜드프레쉬,뷰즈
퍼플프레쉬,뷰즈
그린스파크,뷰즈
펄프레쉬,뷰즈
루비스파크,뷰즈
트로피컬믹스,뷰즈
바이올렛스파크,뷰즈
레인보우믹스,뷰즈
보라보라클릭,네오 하이퍼용
썬키스클릭,네오 하이퍼용
퍼플부스트,네오 하이퍼용
샤인부스트,네오 하이퍼용
부스트,네오 하이퍼용
쥬시부스트,네오 하이퍼용
토바코스위치,네오 하이퍼용
다크토바코,네오 하이퍼용
프레스코,네오 하이퍼용
트로피컬부스트,네오 하이퍼용
6mg,던힐
3mg,던힐
1mg,던힐
프로스트,던힐
파인컷수프림,던힐
파인컷1mg,던힐
파인컷울트라,던힐
파인컷프로스트,던힐
